GHG emissions from fuel combustion - Gas,,,,,,,Source:,,"IEA (2021), GHG Emissions from Energy",,,,,,,,,,,,,,"IEA, All rights reserved ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.9,  1.4,  2.4,  6.2,  6.3,  7.3,  7.7,  8.4,  9.4,  12.2,  14.9,  18.1,  19.6,  24.3,  28.9,  31.2,  33.7,  40.7,  43.0,  52.4,  60.7,  71.0,  70.3,  67.6,  73.4,  85.9,  87.0,  88.0,  93.4,  91.6,  87.6,  102.7,  93.2,  84.8,  90.1
United Kingdom,  21.7,  35.7,  46.3,  60.6,  67.7,  75.0,  79.2,  85.3,  92.0,  93.1,  94.1,  95.4,  97.7,  99.2,  106.1,  107.2,  111.8,  108.2,  102.6,  104.5,  114.7,  115.6,  128.4,  136.6,  144.9,  168.6,  172.9,  180.9,  193.1,  198.7,  200.4,  197.7,  199.0,  203.1,  197.7,  187.1,  188.8,  195.2,  181.4,  195.6,  163.0,  153.1,  152.1,  139.5,  143.3,  161.3,  157.1,  159.2,  158.1,  150.1
OECD Europe,  187.9,  241.8,  285.3,  332.5,  352.2,  388.5,  406.7,  421.3,  450.9,  444.5,  438.3,  429.5,  445.2,  464.0,  482.5,  494.2,  523.7,  519.5,  539.8,  576.5,  618.9,  613.9,  642.5,  655.8,  704.0,  781.4,  786.4,  815.4,  859.5,  879.7,  911.5,  918.9,  964.4,  992.2, 1 022.2, 1 020.6, 1 019.9, 1 049.1,  991.4, 1 072.8,  984.0,  961.6,  945.2,  858.2,  890.5,  947.3,  983.9,  965.4,  976.4,  951.8
Albania,  0.3,  0.3,  0.4,  0.4,  0.6,  0.7,  0.7,  0.7,  0.7,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.7,  0.5,  0.3,  0.2,  0.2,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  8.4,  8.3,  3.5,  1.5,  1.7,  2.7,  2.0,  2.8,  2.9,  2.3,  2.6,  2.7,  2.1,  2.3,  2.5,  3.2,  3.2,  3.9,  4.3,  3.3,  3.1,  3.8,  4.6,  4.4,  4.4,  4.3,  4.1,  4.3,  4.6,  4.9,  4.9
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  32.3,  32.2,  19.8,  16.0,  15.4,  15.5,  10.9,  10.6,  9.8,  10.5,  10.5,  15.9,  16.1,  16.6,  17.2,  17.2,  18.9,  16.8,  19.7,  16.9,  16.1,  17.7,  19.4,  19.4,  20.7,  20.2,  20.4,  19.8,  20.6,  23.2,  23.5
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  24.7,  23.6,  31.8,  30.1,  26.7,  23.7,  25.7,  30.2,  29.3,  30.3,  30.9,  31.3,  31.9,  33.2,  36.2,  36.8,  37.2,  37.7,  38.6,  31.5,  39.5,  37.2,  36.5,  36.8,  36.4,  33.9,  33.8,  34.6,  36.8,  35.2,  32.6
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.9,  0.9,  0.8,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.4,  0.6,  0.7,  0.7,  0.8,  0.8,  0.4,  0.5,  0.5,  0.5,  0.4,  0.4,  0.4,  0.4,  0.5,  0.5,  0.4,  0.3
Bulgaria,  0.6,  0.4,  0.4,  0.9,  2.3,  4.0,  5.2,  5.5,  5.9,  7.6,  8.2,  9.1,  9.6,  10.1,  10.9,  10.9,  12.1,  11.7,  12.1,  11.0,  9.9,  8.8,  7.3,  7.3,  9.2,  9.2,  7.9,  6.8,  5.7,  6.0,  5.4,  4.9,  5.1,  5.0,  5.7,  6.0,  6.1,  5.9,  4.6,  4.8,  5.4,  5.2,  5.0,  4.9,  5.1,  5.1,  5.2,  5.1,  4.7,  4.9
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  4.2,  3.7,  3.7,  4.3,  3.9,  3.4,  3.9,  4.0,  4.0,  3.9,  4.0,  4.4,  4.6,  4.5,  4.7,  4.5,  4.5,  5.2,  5.0,  4.7,  5.1,  4.8,  4.2,  4.2,  3.6,  3.7,  3.9,  4.6,  4.3,  4.5,  4.5
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  10.7,  9.2,  9.2,  7.4,  3.6,  2.2,  1.8,  1.6,  1.6,  1.6,  2.2,  1.6,  1.1,  1.3,  1.5,  1.9,  2.5,  2.8,  2.2,  2.2,  2.1,  2.9,  3.4,  3.2,  3.8,  4.1,  3.9,  4.2,  4.1,  4.7,  4.4
Gibraltar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  25.2,  24.0,  35.2,  24.8,  19.1,  23.8,  18.5,  15.8,  15.8,  15.8,  15.4,  11.5,  15.9,  19.6,  22.2,  28.7,  34.9,  39.7,  48.1,  46.4,  53.8,  53.4,  53.7,  56.8,  28.2,  26.7,  29.2,  32.6,  32.1,  38.7,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.6,  3.6,  3.6,  2.7,  1.7,  1.7,  2.1,  1.7,  2.0,  1.2,  1.4,  1.4,  1.8,  1.4,  1.6,  1.2,  1.3,  1.3,  1.3,  0.5,  0.5,  0.6,  0.7,  0.6,  0.5,  0.5,  0.5,  0.6,  0.6,  0.6,..
Malta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.5,  0.7,  0.7,  0.7
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  7.6,  7.7,  6.8,  6.8,  6.6,  6.5,  5.4,  5.7,  5.3,  5.2,  4.8,  5.1,  5.0,  5.2,  5.3,  5.5,  5.2,  5.2,  4.9,  4.9,  5.3,  5.2,  5.2,  4.0,  4.7,  4.9,  4.9,  4.5,  4.9,  5.1,  6.9
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4,  0.5,  0.5,  0.6,  0.7
Romania,  52.4,  53.2,  56.2,  58.0,  63.0,  69.5,  73.6,  76.1,  73.3,  76.1,  80.0,  81.4,  81.0,  80.7,  75.1,  76.4,  75.0,  75.3,  75.5,  67.8,  56.0,  44.1,  41.8,  41.0,  42.4,  42.1,  35.9,  33.2,  29.6,  29.6,  28.3,  29.7,  32.1,  30.1,  28.8,  30.0,  26.8,  26.4,  22.2,  22.6,  22.9,  22.2,  21.1,  20.0,  19.9,  19.9,  21.0,  21.5,  19.9,  21.5
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  838.9,  864.5,  821.1,  794.3,  744.9,  710.5,  710.5,  679.7,  678.5,  690.3,  696.2,  702.8,  712.9,  746.7,  752.2,  754.7,  775.5,  788.1,  789.4,  748.5,  803.8,  827.6,  820.5,  814.7,  807.8,  766.4,  774.5,  796.8,  839.4,  855.4,  810.5
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  6.1,  5.9,  4.8,  3.0,  2.5,  2.9,  4.0,  4.5,  4.2,  3.0,  3.2,  3.5,  3.6,  3.7,  4.7,  4.0,  3.8,  4.6,  4.3,  3.1,  3.8,  3.9,  3.9,  4.1,  3.3,  3.5,  3.6,  4.1,  4.3,  4.1,  4.0
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.3,  3.3,  3.5,  2.7,  1.5,  1.2,  1.2,  1.5,  1.5,  1.5,  1.5,  1.2,  1.0,  1.1,  1.3,  1.3,  1.3,  1.3,  1.0,  0.5,  0.4,  0.4,  0.3,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.5,..
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  28.8,  25.9,  13.0,  18.4,  25.0,  26.4,  21.3,  21.8,  20.6,  25.2,  25.7,  26.3,  26.8,  29.6,  31.8,  33.6,  35.0,  41.1,  41.2,  35.5,  40.8,  44.9,  46.3,  47.6,  48.3,  50.2,  50.2,  50.2,  50.2,  50.2,..
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  210.7,  213.9,  197.6,  184.6,  164.1,  157.1,  171.0,  152.2,  136.5,  148.1,  142.9,  142.9,  141.1,  149.4,  138.4,  136.4,  122.7,  115.9,  110.6,  86.3,  96.2,  97.7,  88.0,  82.4,  69.3,  54.8,  54.5,  53.4,  55.9,  49.2,  46.5
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  76.5,  78.6,  79.1,  83.9,  80.4,  71.7,  72.7,  73.8,  89.3,  90.9,  97.2,  98.6,  101.3,  97.2,  99.6,  93.6,  100.7,  98.8,  103.7,  94.1,  104.1,  107.3,  92.1,  89.5,  82.9,  79.0,  83.3,  88.2,  89.0,  92.8,..
Former Soviet Union (if no detail),  422.6,  442.2,  458.0,  484.8,  504.6,  541.8,  570.5,  602.3,  637.2,  678.9,  726.4,  783.6,  841.0,  910.9,  990.5, 1 057.4, 1 120.8, 1 173.3, 1 232.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Former Yugoslavia (if no detail),  1.3,  1.6,  1.8,  2.0,  2.1,  2.2,  2.4,  3.1,  3.8,  5.0,  6.2,  8.0,  8.7,  9.8,  11.0,  11.5,  10.6,  10.8,  11.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Non-OECD Europe and Eurasia,  477.1,  497.7,  516.7,  546.2,  572.6,  618.2,  652.3,  687.7,  720.9,  768.3,  821.6,  882.8,  941.0, 1 012.2, 1 088.3, 1 157.0, 1 219.4, 1 271.9, 1 332.5, 1 361.4, 1 371.3, 1 286.7, 1 230.0, 1 146.1, 1 101.4, 1 102.9, 1 049.9, 1 041.7, 1 065.8, 1 074.6, 1 083.5, 1 100.2, 1 149.5, 1 155.2, 1 157.9, 1 183.8, 1 196.4, 1 207.6, 1 105.8, 1 202.7, 1 236.6, 1 207.0, 1 194.6, 1 139.4, 1 078.0, 1 092.9, 1 126.0, 1 175.3, 1 195.6,..
Algeria,  2.4,  3.1,  3.5,  4.1,  4.7,  5.5,  6.2,  9.5,  13.1,  13.5,  16.6,  20.9,  24.0,  21.8,  21.8,  26.7,  26.1,  28.6,  28.2,  26.2,  28.3,  28.6,  30.2,  29.9,  31.3,  31.4,  32.9,  34.0,  35.6,  35.9,  36.6,  38.4,  42.3,  41.5,  45.0,  47.3,  48.5,  49.0,  51.8,  51.4,  55.9,  62.0,  63.4,  68.8,  72.7,  72.3,  75.6,  80.8,  84.4,..
Angola,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  1.0,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.0,  1.2,  1.2,  1.4,  1.2,  1.3,  1.6,  1.3,  1.3,  1.4,  1.4,  1.5,  0.8,  0.6,  1.5,  1.5,  1.6,  1.7,  2.5,..
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.0,  0.1,  0.0,  0.1,  0.3
Botswana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Cameroon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.6,  0.6,  0.5,  0.5,  0.3,  0.4,  0.6,  0.9,  1.0,  1.0,  1.1,  1.5,  1.4,..
Congo,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.2,  0.3,  0.4,  0.4,  0.5,  1.0,  1.2,  1.2,  1.4,  1.9,..
Côte d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.9,  1.4,  1.8,  3.0,  3.0,  3.0,  3.1,  2.7,  2.6,  2.9,  2.9,  3.0,  3.1,  2.8,  3.1,  3.1,  3.4,  3.9,  3.9,  4.0,  3.6,  4.4,  3.8,  4.1,..
Dem. Rep. of Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,-,..
Egypt,  0.2,  0.1,  0.2,  0.1,  0.1,  0.1,  0.4,  1.0,  1.3,  2.8,  2.8,  2.9,  3.6,  4.9,  6.6,  8.1,  9.1,  9.9,  12.9,  13.4,  14.9,  16.0,  18.8,  19.9,  20.8,  21.6,  22.4,  22.8,  29.3,  29.8,  42.8,  42.7,  48.9,  47.2,  62.9,  66.6,  73.5,  74.9,  72.6,  73.9,  81.2,  82.2,  78.7,  75.1,  78.2,  87.0,  104.8,  107.5,  109.4,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.5,  1.8,  1.9,  2.5,  4.5,  5.4,  4.4,  5.8,  6.0,  6.0,  6.5,  6.8,  5.6,  4.5,  3.6,  4.2,  3.9,  4.7,  3.6,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Gabon,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.2,  0.3,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4,  0.5,  0.6,  0.7,  0.7,  0.6,  0.7,  0.7,  0.8,  1.0,  1.0,  1.0,..
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.8,  1.6,  0.8,  0.6,  1.3,  2.5,  1.1,  2.3,  3.0,  4.1,  6.1
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Libya,  3.6,  3.2,  3.0,  2.4,  2.6,  3.2,  3.6,  3.8,  4.2,  3.7,  3.0,  2.9,  2.9,  3.0,  3.1,  3.2,  3.2,  3.0,  3.2,  3.5,  3.8,  3.9,  3.5,  3.6,  5.3,  5.5,  5.9,  5.8,  6.0,  6.2,  6.4,  6.1,  6.6,  7.5,  9.2,  10.8,  11.5,  12.0,  11.4,  12.6,  11.6,  13.5,  15.3,  13.7,  14.2,  17.7,  18.0,  17.6,  17.7,..
Mauritius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,  0.1,  0.1,  0.1,  0.2,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.9,  1.1,  1.3,  1.1,  1.2,  1.3,  1.7,  2.5,  2.3,  2.4,  2.4,  2.4,  2.4,  2.2,  2.0,  1.6
Mozambique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.2,  0.2,  0.4,  0.4,  0.4,  0.5,  1.1,  1.9,  1.7,  1.7,  1.9,..
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Niger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,..
Nigeria,  0.4,  0.5,  0.8,  0.8,  1.0,  1.3,  1.6,  1.8,  2.3,  2.9,  4.4,  5.0,  6.1,  5.9,  7.0,  6.3,  7.0,  7.0,  7.3,  6.9,  8.5,  8.9,  9.8,  9.5,  9.3,  9.4,  11.9,  12.0,  12.8,  14.7,  13.8,  14.7,  18.6,  18.6,  18.7,  19.8,  20.9,  20.0,  16.3,  19.3,  26.7,  27.1,  27.7,  31.1,  31.2,  31.9,  29.6,  30.8,  31.1,..
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,..
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  1.9,  4.1,  4.1,  4.0,  4.0,  4.1,  4.0,  4.3,  4.5,  4.5,..
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,..
Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
United Rep. of Tanzania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.8,  1.0,  1.1,  1.1,  1.3,  1.5,  1.7,  1.9,  1.9,  1.8,  1.7,  1.6,  1.6,  1.5,  2.0,..
Togo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.1,  0.1,  0.2,..
Tunisia,  0.0,  0.0,  0.3,  0.5,  0.5,  0.5,  0.5,  0.7,  0.8,  0.8,  0.9,  1.0,  1.0,  1.7,  2.2,  1.6,  2.6,  2.1,  2.2,  2.8,  2.0,  2.8,  2.8,  4.0,  4.6,  5.0,  5.2,  5.8,  6.1,  6.4,  7.1,  7.2,  7.2,  7.5,  7.8,  7.9,  8.4,  9.2,  9.6,  11.9,  11.6,  12.5,  12.4,  12.4,  11.8,  12.2,  12.6,  13.0,  12.9,..
Zambia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Zimbabwe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Other Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.0,..
Africa,  6.7,  7.2,  8.1,  8.2,  9.1,  11.0,  12.7,  17.0,  21.9,  24.0,  28.1,  33.1,  38.1,  37.7,  41.3,  46.3,  48.6,  51.3,  54.5,  54.3,  58.9,  61.6,  66.5,  68.2,  72.9,  75.2,  81.3,  83.8,  94.1,  97.5,  111.8,  115.5,  129.7,  129.6,  154.4,  164.7,  175.3,  178.8,  175.6,  186.8,  209.0,  220.2,  218.7,  222.2,  231.9,  244.6,  266.5,  276.8,  285.0,..
Bangladesh,  0.3,  0.3,  0.5,  0.6,  0.6,  0.7,  0.8,  1.0,  1.2,  1.5,  1.4,  1.7,  2.0,  2.2,  3.1,  3.4,  4.2,  4.7,  4.9,  5.4,  5.7,  6.2,  6.7,  7.5,  8.2,  8.6,  8.8,  9.8,  11.0,  11.8,  13.7,  15.0,  16.1,  17.6,  19.1,  22.3,  24.4,  28.0,  31.4,  36.0,  36.3,  38.6,  41.0,  43.2,  46.0,  51.1,  52.5,  52.5,  54.9,..
Brunei Darussalam,  0.2,  0.2,  0.5,  1.0,  1.2,  1.6,  1.8,  1.6,  1.7,  2.2,  2.2,  2.2,  2.3,  2.4,  2.3,  2.3,  2.4,  2.5,  2.4,  2.5,  2.6,  2.7,  2.9,  3.1,  3.4,  3.4,  3.7,  3.1,  3.0,  3.2,  3.1,  3.1,  3.9,  3.6,  3.5,  5.8,  5.3,  5.5,  5.7,  5.1,  5.1,  5.0,  4.9,  4.8,  4.1,  4.5,  4.8,  5.2,  4.1,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
DPR of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
India,  1.0,  1.1,  1.1,  1.2,  1.3,  1.4,  1.5,  1.9,  1.8,  1.8,  2.4,  3.5,  4.2,  5.1,  5.0,  7.5,  9.0,  8.1,  9.6,  14.2,  17.5,  18.9,  20.0,  21.2,  26.0,  27.2,  32.7,  36.3,  39.6,  41.0,  42.8,  46.9,  51.9,  52.9,  55.7,  56.1,  64.1,  52.7,  71.8,  75.0,  85.6,  71.2,  59.8,  60.2,  63.6,  72.3,  81.3,  81.7,  83.1,..
Indonesia,  0.1,  0.1,  0.2,  0.4,  0.5,  0.6,  1.1,  2.3,  4.1,  5.5,  6.1,  6.4,  7.0,  8.3,  8.7,  10.1,  10.7,  11.8,  10.5,  24.4,  27.6,  29.7,  31.5,  41.4,  47.4,  48.6,  53.3,  60.1,  56.4,  45.5,  51.6,  54.9,  57.9,  54.7,  51.0,  66.4,  51.4,  56.8,  69.3,  71.4,  71.7,  73.9,  76.3,  78.2,  77.9,  75.6,  73.2,  82.5,  88.7,  78.1
Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Malaysia,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.8,  1.9,  4.6,  4.8,  5.3,  5.8,  6.0,  6.8,  14.2,  15.3,  19.3,  21.7,  24.1,  29.0,  31.9,  35.6,  42.6,  48.5,  49.4,  49.6,  51.8,  56.1,  64.0,  69.2,  71.9,  80.8,  63.7,  63.2,  58.7,  57.9,  66.2,  72.9,  70.7,  63.0,  48.0,  62.0,  63.5,..
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
