GHG emissions from fuel combustion - Gas,,,,,,,Source:,,"IEA (2021), GHG Emissions from Energy",,,,,,,,,,,,,,"IEA, All rights reserved ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,  0.1,  0.2,  0.2,  0.2,  0.3,  0.4,  0.4,  0.5,  0.5,  0.6,  0.7,  0.9,  0.9,  1.2,  1.6,  1.8,  1.9,  1.9,  1.9,  1.6,  1.6,  1.5,  1.9,  2.4,  2.7,  2.9,  3.2,  3.1,  2.9,  2.6,  2.2,  2.3,  2.9,  3.1,  3.0,  2.9,  2.8,  2.9,  2.4,  3.0,  3.4,  3.6,  3.9,  5.6,  6.6,  8.2,  8.4,  8.7,  10.8,..
Nepal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Pakistan,  4.9,  5.0,  5.8,  6.7,  7.2,  7.3,  7.8,  8.3,  8.7,  9.0,  9.8,  10.1,  10.1,  10.0,  10.8,  11.2,  15.4,  15.9,  18.5,  17.9,  19.4,  21.9,  22.9,  23.6,  25.6,  24.9,  25.5,  26.3,  30.1,  30.9,  33.3,  36.0,  45.0,  50.5,  52.8,  53.0,  55.5,  55.0,  54.9,  52.9,  55.2,  55.8,  51.8,  51.0,  54.4,  58.0,  62.2,  59.5,  61.7,..
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.3,  3.6,  5.5,  5.1,  6.7,  6.0,  7.2,  7.3,  7.6,  7.2,  7.7,  7.4,  6.8,  7.2,  6.8,  7.7,  7.6,  8.5,  8.6,..
Singapore,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  1.1,  3.0,  3.1,  3.2,  3.1,  3.2,  3.6,  2.9,  2.9,  4.4,  7.0,  10.6,  12.6,  12.0,  13.0,  13.6,  13.9,  13.9,  15.0,  15.5,  16.7,  18.9,  20.0,  20.1,  20.6,  20.9,  21.0,  21.6,..
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Chinese Taipei,  1.6,  1.8,  2.2,  2.2,  2.2,  2.7,  2.6,  2.2,  2.1,  3.3,  2.9,  1.5,  1.5,  1.6,  1.5,  1.4,  1.5,  1.6,  1.8,  3.2,  5.2,  5.4,  5.2,  7.1,  7.5,  7.9,  9.1,  11.5,  11.5,  13.0,  14.4,  16.5,  16.8,  20.0,  21.2,  21.6,  23.7,  25.7,  24.8,  31.0,  33.9,  35.3,  36.1,  37.9,  40.7,  42.7,  46.9,  47.5,  46.5,  50.4
Thailand,-,-,-,-,-,-,-,-,-,-,  0.6,  2.5,  3.0,  4.5,  6.9,  6.7,  9.3,  11.0,  10.9,  11.7,  14.5,  15.6,  17.5,  19.5,  20.5,  24.1,  29.4,  32.1,  35.0,  40.9,  47.7,  51.5,  54.1,  57.4,  61.0,  62.8,  66.6,  72.9,  65.6,  75.0,  68.6,  79.7,  84.1,  83.8,  85.1,  83.4,  78.3,  79.9,  84.4,..
Viet Nam,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.1,  0.0,  0.0,  0.1,  0.4,  0.6,  1.2,  1.9,  2.2,  2.6,  2.6,  5.4,  6.4,  8.6,  11.0,  12.0,  12.8,  14.9,  16.7,  19.1,  17.8,  19.4,  20.0,  21.5,  20.6,  19.0,  17.2,  17.2,  18.5,..
Other Asia,  0.5,  0.3,  0.3,  0.4,  0.5,  0.3,  0.5,  0.3,  0.4,  0.2,  0.3,  0.4,  0.7,  1.0,  1.3,  1.3,  0.4,  0.5,  0.5,  0.6,  0.6,  0.5,  0.5,  0.5,  0.5,  0.6,  0.5,  0.5,  0.5,  0.5,  0.5,  0.9,  0.8,  0.5,  0.6,  0.6,  0.6,  0.8,  0.8,  0.9,  0.8,  0.6,  0.6,  1.0,  1.2,  1.3,  1.7,  1.5,  1.5,..
Asia (excl. China),  8.8,  9.2,  10.9,  12.9,  14.0,  15.2,  16.7,  18.4,  20.7,  24.3,  26.7,  29.6,  32.7,  38.3,  46.0,  50.7,  60.2,  63.9,  67.1,  88.4,  109.0,  118.9,  131.4,  151.1,  169.6,  181.0,  202.5,  224.0,  237.8,  243.4,  266.1,  292.7,  323.7,  342.7,  361.7,  391.8,  400.1,  417.2,  428.6,  454.8,  460.3,  465.0,  470.5,  487.3,  497.7,  507.5,  502.9,  527.7,  547.8,..
People's Rep. of China,  7.4,  9.5,  11.8,  14.8,  17.4,  19.9,  23.9,  27.0,  28.5,  28.1,  25.1,  23.5,  24.1,  24.9,  16.2,  17.3,  18.1,  17.9,  19.1,  19.8,  20.0,  20.9,  25.1,  24.0,  26.9,  25.9,  30.0,  29.0,  31.7,  35.9,  42.2,  43.5,  52.7,  64.0,  71.8,  94.5,  117.8,  136.1,  152.3,  225.9,  234.1,  259.9,  301.5,  332.0,  351.6,  382.2,  444.4,  526.5,  573.8,..
"Hong Kong, China",  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.4,  0.5,  0.5,  0.6,  0.7,  0.8,  0.8,  0.9,  1.0,  1.0,  1.2,  5.1,  7.4,  7.0,  7.6,  7.1,  7.2,  6.9,  4.9,  6.5,  6.5,  6.8,  6.1,  6.9,  6.5,  8.0,  6.5,  6.0,  5.7,  5.5,  6.9,  7.0,  7.0,  6.8,  7.0,  11.7
"China (incl. Hong Kong, China)",  7.4,  9.6,  11.8,  14.9,  17.5,  20.0,  24.0,  27.1,  28.7,  28.3,  25.3,  23.8,  24.4,  25.3,  16.6,  17.7,  18.6,  18.5,  19.8,  20.6,  20.8,  21.8,  26.1,  25.0,  28.0,  31.0,  37.4,  36.0,  39.3,  43.0,  49.4,  50.3,  57.6,  70.5,  78.3,  101.2,  123.8,  143.0,  158.8,  233.9,  240.7,  266.0,  307.2,  337.6,  358.4,  389.2,  451.4,  533.3,  580.7,..
Argentina,  11.2,  13.9,  14.2,  15.6,  16.8,  17.6,  18.2,  17.2,  19.2,  21.3,  22.1,  24.3,  28.1,  30.1,  30.6,  33.6,  33.9,  39.7,  43.4,  39.6,  41.1,  42.1,  45.3,  47.2,  49.8,  55.3,  56.9,  62.2,  68.1,  70.6,  68.8,  66.5,  73.6,  79.7,  83.5,  85.5,  85.6,  86.2,  84.3,  84.2,  89.1,  91.5,  94.0,  93.6,  95.8,  96.5,  97.4,  97.3,  93.5,  88.5
Bolivia,  0.1,  0.2,  0.2,  0.2,  0.3,  0.4,  0.4,  0.5,  0.5,  0.6,  0.7,  0.7,  0.7,  0.7,  0.8,  0.9,  1.0,  1.1,  1.3,  1.5,  1.6,  1.8,  1.9,  2.3,  2.5,  2.3,  2.6,  2.7,  2.2,  2.3,  2.5,  2.7,  3.1,  3.2,  3.6,  4.1,  4.6,  5.1,  5.7,  6.4,  7.1,  7.4,  7.8,  8.7,  8.7,  9.6,  9.6,  9.7,  8.9,..
Brazil,  0.5,  0.6,  0.6,  1.0,  1.0,  1.1,  1.4,  1.4,  1.5,  1.6,  1.7,  2.2,  2.5,  3.0,  3.9,  4.6,  5.2,  5.3,  5.4,  6.0,  5.9,  6.5,  7.2,  7.2,  8.0,  9.7,  10.7,  11.2,  13.1,  17.3,  22.8,  28.5,  29.9,  36.8,  39.5,  41.0,  42.3,  51.2,  40.7,  53.0,  52.3,  62.3,  74.6,  82.4,  81.3,  68.3,  72.9,  70.6,  70.3,  66.9
Colombia,  2.6,  3.2,  3.3,  3.5,  3.3,  3.5,  3.9,  4.8,  5.2,  5.7,  6.2,  6.7,  7.4,  7.3,  7.4,  7.5,  7.6,  7.6,  7.3,  7.6,  7.8,  7.7,  8.0,  7.9,  8.4,  9.1,  11.5,  13.3,  11.5,  12.8,  13.6,  13.6,  13.1,  13.7,  14.4,  14.5,  14.3,  15.4,  17.6,  18.6,  17.6,  18.2,  18.8,  19.3,  19.9,  20.8,  19.0,  19.8,  18.0,  14.5
Costa Rica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Cuba,  0.1,  0.1,  0.1,  0.1,  0.2,  0.3,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.3,  1.0,  1.1,  1.2,  1.1,  1.3,  1.4,  1.4,  2.1,  2.3,  2.2,  2.2,  2.0,  2.0,  2.0,  2.0,  2.3,  2.4,  2.3,  2.0,  1.8,  1.8,..
Curaçao,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Dominican Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.5,  0.3,  0.4,  0.7,  1.0,  1.0,  1.0,  1.6,  1.8,  2.2,  2.2,  2.2,  2.2,  2.1,  2.4,  2.4,  2.5,..
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.3,  0.4,  0.6,  0.7,  0.8,  0.9,  0.8,  1.0,  1.0,  0.9,  1.2,  1.4,  1.4,  1.3,  1.4,  1.3,  1.1,  1.0,..
El Salvador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Guatemala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Guyana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,..
Haiti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Honduras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Jamaica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.4,  0.5,  0.5,..
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Panama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.5,  1.6,..
Paraguay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Peru,  0.6,  0.7,  0.7,  0.7,  0.8,  1.0,  0.9,  1.0,  1.0,  1.1,  1.3,  1.4,  0.7,  1.1,  1.3,  1.3,  1.2,  1.2,  1.0,  1.0,  0.9,  0.8,  0.6,  0.4,  0.6,  1.0,  0.7,  0.9,  1.2,  1.1,  1.2,  1.3,  1.5,  2.3,  3.9,  4.4,  6.1,  7.6,  9.7,  13.0,  15.2,  15.6,  14.7,  18.4,  18.1,  19.0,  16.7,  17.0,  17.9,..
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
Trinidad and Tobago,  2.8,  2.9,  2.7,  2.5,  2.3,  2.6,  2.9,  3.1,  3.2,  3.9,  4.9,  4.6,  4.5,  4.5,  4.5,  4.6,  4.9,  5.6,  5.6,  5.9,  5.6,  5.8,  5.8,  5.9,  6.0,  6.2,  6.8,  7.0,  7.0,  7.4,  8.8,  9.9,  12.3,  13.0,  13.5,  15.8,  15.9,  15.3,  14.4,  16.8,  17.5,  16.7,  17.4,  17.0,  16.2,  13.7,  13.6,  13.8,  13.3,..
Uruguay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.1,  0.1,  0.0,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.1,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1
Venezuela,  16.9,  17.2,  20.4,  21.0,  19.7,  20.7,  22.6,  22.5,  25.7,  26.5,  26.1,  27.9,  27.8,  31.5,  31.3,  31.6,  32.1,  31.4,  34.7,  37.6,  39.5,  39.9,  41.8,  43.7,  47.4,  54.8,  54.9,  56.6,  49.7,  51.8,  48.2,  49.1,  52.5,  51.8,  53.7,  48.0,  44.6,  48.9,  47.8,  48.0,  43.6,  46.8,  46.1,  45.6,  47.0,  46.5,  46.7,  43.1,  32.7,..
Other Non-OECD Americas,  0.0,  0.0,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.1,  0.1,  0.7,  1.3,  1.3,  1.5,  1.4,  1.4,  1.4,  1.5,  1.6,  1.5,  1.6,  1.5,  2.7,  3.1,  3.1,  3.0,  3.4,  0.0,  0.1,  0.1,..
Non-OECD Americas,  32.3,  35.4,  38.8,  41.2,  41.2,  43.7,  46.6,  45.8,  51.3,  55.1,  57.0,  61.2,  64.4,  71.1,  72.6,  76.8,  78.5,  84.4,  91.6,  91.7,  94.7,  97.0,  102.8,  106.8,  114.4,  129.6,  132.8,  140.9,  142.4,  152.6,  155.0,  160.8,  176.8,  190.5,  201.8,  204.1,  205.0,  220.2,  208.3,  227.7,  231.1,  248.6,  263.5,  274.8,  276.0,  262.9,  263.2,  258.0,  244.4,..
Bahrain,  1.8,  2.2,  3.2,  3.9,  4.1,  4.4,  4.8,  5.1,  5.6,  5.7,  6.1,  6.6,  6.9,  7.0,  7.5,  8.0,  7.8,  8.3,  8.4,  8.7,  8.3,  10.0,  10.8,  11.1,  11.2,  11.8,  11.9,  12.8,  13.1,  13.4,  13.9,  14.5,  15.1,  14.7,  17.1,  18.2,  18.8,  20.6,  20.9,  21.7,  22.0,  22.9,  24.4,  25.8,  25.7,  25.2,  25.3,  25.5,  28.2,..
Islamic Rep. of Iran,  5.5,  6.3,  7.5,  8.0,  8.1,  9.1,  9.3,  7.2,  9.6,  8.6,  9.3,  12.8,  14.6,  17.0,  16.9,  16.2,  20.5,  21.3,  29.1,  33.8,  46.0,  49.4,  55.2,  68.4,  76.4,  75.5,  84.9,  92.3,  110.6,  118.2,  124.4,  141.3,  156.1,  176.8,  190.0,  208.7,  234.5,  247.1,  259.3,  275.4,  280.5,  280.4,  283.6,  320.6,  343.9,  367.0,  386.7,  391.3,  391.7,..
Iraq,  1.8,  1.8,  2.3,  2.3,  3.2,  4.1,  3.1,  3.3,  4.3,  2.5,  1.2,  1.3,  0.9,  1.1,  1.6,  1.7,  1.9,  4.8,  5.5,  3.8,  3.3,  4.4,  4.9,  6.1,  6.1,  6.2,  5.9,  5.7,  6.1,  6.0,  5.3,  4.5,  3.0,  1.9,  3.5,  5.0,  4.5,  6.4,  9.1,  9.8,  12.6,  12.3,  12.2,  12.5,  12.8,  14.1,  20.5,  25.9,  32.9,..
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.2,  0.2,  0.3,  0.3,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.4,  1.1,  2.8,  3.2,  4.7,  5.6,  6.3,  7.2,  5.4,  2.0,  1.6,  2.1,  0.7,  4.5,  7.9,  7.9,  8.0,  7.8,..
Kuwait,  10.0,  10.9,  11.7,  11.1,  10.0,  10.8,  11.5,  12.1,  16.6,  13.3,  10.3,  8.0,  9.2,  10.0,  9.8,  12.3,  14.5,  19.2,  22.7,  11.6,  1.6,  9.4,  16.7,  17.8,  17.8,  17.9,  17.8,  18.2,  16.7,  18.4,  18.2,  16.7,  19.2,  20.9,  23.6,  23.8,  21.6,  24.4,  23.8,  27.9,  32.6,  34.9,  35.5,  35.2,  40.1,  42.4,  43.1,  43.9,  47.5,..
Lebanon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.5,-,-,-,-,-,-,-,-,-,..
Oman,-,-,-,-,-,-,-,  0.3,  0.6,  0.7,  0.9,  1.1,  1.3,  1.9,  2.1,  2.6,  2.9,  3.0,  3.1,  4.9,  5.0,  4.8,  5.2,  5.5,  6.8,  7.4,  8.6,  8.9,  9.4,  11.7,  13.3,  13.5,  14.1,  14.1,  14.8,  22.0,  23.7,  24.3,  27.8,  31.1,  35.1,  39.3,  40.5,  42.3,  45.6,  46.2,  46.5,  50.2,  50.5,..
Qatar,  1.9,  2.1,  3.0,  2.5,  4.2,  2.6,  2.9,  2.6,  5.0,  5.6,  7.1,  7.6,  8.0,  9.1,  9.1,  9.8,  10.0,  10.3,  10.8,  10.5,  12.0,  12.6,  13.2,  13.8,  14.4,  15.1,  16.4,  17.5,  19.9,  18.5,  19.4,  20.7,  22.7,  25.3,  26.7,  30.8,  33.4,  34.6,  37.1,  43.1,  51.8,  56.3,  58.2,  61.0,  65.1,  66.0,  67.1,  67.4,  68.9,..
Saudi Arabia,  2.7,  3.1,  3.6,  4.6,  5.4,  6.9,  8.3,  10.6,  12.8,  21.0,  23.1,  25.6,  24.0,  26.6,  28.9,  30.1,  32.3,  34.8,  38.1,  43.3,  44.3,  49.2,  51.0,  55.1,  54.7,  56.6,  58.3,  61.2,  60.8,  66.8,  69.9,  82.3,  84.7,  92.3,  100.7,  105.8,  108.0,  119.0,  112.6,  130.1,  132.6,  144.7,  146.2,  152.1,  156.4,  162.5,  171.3,  173.5,  176.6,..
Syrian Arab Republic ,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.3,  0.3,  0.8,  0.8,  1.8,  2.9,  3.2,  3.2,  3.3,  2.9,  3.2,  4.0,  4.4,  5.9,  6.9,  6.9,  7.4,  8.7,  9.1,  10.0,  9.2,  8.9,  9.4,  8.6,  8.8,  12.2,  15.7,  13.6,  11.0,  9.0,  8.3,  7.3,  6.4,  6.3,  6.3,  6.0,..
United Arab Emirates,  2.1,  2.0,  2.5,  2.4,  3.3,  3.8,  6.7,  7.9,  8.6,  9.7,  12.2,  12.9,  11.7,  16.1,  19.9,  24.2,  27.6,  27.9,  34.0,  33.3,  40.1,  37.0,  38.7,  44.8,  48.8,  53.5,  57.1,  58.9,  60.9,  58.9,  70.3,  70.1,  72.2,  78.0,  82.3,  84.4,  93.3,  112.9,  112.3,  115.5,  119.5,  125.5,  127.8,  125.1,  140.2,  141.1,  129.3,  113.5,  128.2,..
Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.7,  1.9,  1.9,  2.2,  2.8,  2.9,  1.7,  1.0,  0.6,  0.2,  0.2,..
Middle East,  25.8,  28.5,  33.8,  34.7,  38.3,  41.7,  46.6,  49.1,  63.2,  67.1,  70.4,  75.8,  76.9,  89.1,  96.2,  105.8,  118.3,  131.5,  154.9,  153.5,  164.0,  180.4,  198.9,  226.3,  240.8,  248.7,  267.3,  283.1,  305.0,  320.0,  344.0,  373.4,  398.1,  436.2,  470.9,  512.7,  551.9,  604.4,  623.0,  678.1,  704.1,  731.0,  742.2,  786.5,  843.4,  879.8,  904.6,  905.7,  938.5,..
IEA/Accession/Association, 1 497, 1 579, 1 628, 1 647, 1 578, 1 646, 1 661, 1 698, 1 785, 1 777, 1 749, 1 679, 1 638, 1 752, 1 747, 1 700, 1 794, 1 858, 1 935, 1 968, 2 050, 2 095, 2 186, 2 256, 2 377, 2 510, 2 590, 2 622, 2 701, 2 803, 2 813, 2 911, 2 973, 3 039, 3 070, 3 128, 3 268, 3 333, 3 274, 3 568, 3 576, 3 673, 3 751, 3 734, 3 824, 3 932, 4 015, 4 266, 4 381,..
European Union - 27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  540,  558,  535,  546,  548,  589,  640,  629,  643,  664,  678,  704,  713,  751,  770,  795,  797,  782,  804,  757,  816,  750,  734,  716,  635,  665,  708,  736,  726,  744,  726
G7, 1 377, 1 433, 1 466, 1 467, 1 395, 1 447, 1 449, 1 469, 1 538, 1 531, 1 503, 1 423, 1 371, 1 472, 1 457, 1 406, 1 481, 1 544, 1 605, 1 588, 1 647, 1 681, 1 749, 1 797, 1 880, 1 968, 2 010, 2 009, 2 058, 2 129, 2 083, 2 131, 2 136, 2 147, 2 141, 2 128, 2 226, 2 242, 2 169, 2 293, 2 294, 2 352, 2 380, 2 360, 2 418, 2 482, 2 453, 2 618, 2 672, 2 609
G8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 2 427, 2 511, 2 502, 2 544, 2 542, 2 590, 2 678, 2 690, 2 687, 2 748, 2 825, 2 786, 2 844, 2 883, 2 899, 2 895, 2 904, 3 014, 3 032, 2 917, 3 097, 3 121, 3 172, 3 194, 3 168, 3 184, 3 256, 3 250, 3 458, 3 528, 3 415
G20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 2 953, 3 046, 3 033, 3 093, 3 115, 3 208, 3 348, 3 387, 3 416, 3 503, 3 615, 3 620, 3 733, 3 832, 3 909, 3 950, 4 034, 4 183, 4 255, 4 144, 4 494, 4 539, 4 633, 4 692, 4 670, 4 723, 4 846, 4 965, 5 263, 5 384,..
Africa,  7,  7,  8,  8,  9,  11,  13,  17,  22,  24,  28,  33,  38,  38,  41,  46,  49,  51,  54,  54,  59,  62,  66,  68,  73,  75,  81,  84,  94,  98,  112,  115,  130,  130,  154,  165,  175,  179,  176,  187,  209,  220,  219,  222,  232,  245,  267,  277,  285,..
Americas, 1 322, 1 349, 1 350, 1 315, 1 221, 1 247, 1 234, 1 240, 1 293, 1 287, 1 264, 1 200, 1 141, 1 217, 1 192, 1 129, 1 182, 1 247, 1 302, 1 265, 1 291, 1 328, 1 377, 1 413, 1 470, 1 521, 1 570, 1 566, 1 577, 1 653, 1 600, 1 664, 1 669, 1 690, 1 686, 1 681, 1 770, 1 794, 1 754, 1 851, 1 894, 1 978, 2 024, 2 070, 2 123, 2 125, 2 098, 2 271, 2 311,..
Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  575,  613,  626,  658,  706,  750,  772,  831,  884,  949,  995, 1 056, 1 131, 1 212, 1 303, 1 381, 1 524, 1 634, 1 736, 1 754, 1 969, 2 071, 2 131, 2 203, 2 260, 2 325, 2 418, 2 522, 2 622, 2 714,..
Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 1 743, 1 798, 1 726, 1 707, 1 644, 1 648, 1 739, 1 689, 1 694, 1 752, 1 769, 1 805, 1 819, 1 904, 1 927, 1 947, 1 946, 1 939, 1 965, 1 830, 1 981, 1 904, 1 861, 1 830, 1 715, 1 692, 1 761, 1 807, 1 846, 1 872,..
Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 1 743, 1 798, 1 726, 1 707, 1 644, 1 648, 1 739, 1 689, 1 694, 1 752, 1 769, 1 805, 1 819, 1 904, 1 927, 1 947, 1 946, 1 939, 1 965, 1 830, 1 981, 1 904, 1 861, 1 830, 1 715, 1 692, 1 761, 1 807, 1 846, 1 872,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The original version of this file, as published by the International Energy Agency, is available free of charge on the IEA’s website at:",,,,,,,,,,,,,,,,,,,,,,https://www.iea.org/subscribe-to-data-services/co2-emissions-statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
You are permitted to use the data in this file as set out in the IEA’s terms and conditions here:  ",,,,,,,,,,,,,,,,,,,,,,https://www.iea.org/terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This notice, and any copyright or sourcing statements in the file, must not be removed from this file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,