Entity,Code,Year,Wind Capacity
Africa,,1997,0.006
Africa,,1998,0.01
Africa,,1999,0.064
Africa,,2000,0.1334
Africa,,2001,0.1334
Africa,,2002,0.13966
Africa,,2003,0.15024
Africa,,2004,0.22616
Africa,,2005,0.22638
Africa,,2006,0.31108
Africa,,2007,0.45192
Africa,,2008,0.53712
Africa,,2009,0.72405
Africa,,2010,0.846477
Africa,,2011,0.976682
Africa,,2012,1.109974
Africa,,2013,1.724204
Africa,,2014,2.382768
Africa,,2015,3.322
Africa,,2016,3.829
Africa,,2017,4.581
Africa,,2018,5.469
Africa,,2019,5.769
Africa,,2020,6.491
Argentina,ARG,1997,0.009
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.0141
Argentina,ARG,2001,0.0248
Argentina,ARG,2002,0.0258
Argentina,ARG,2003,0.0257
Argentina,ARG,2004,0.0278
Argentina,ARG,2005,0.0278
Argentina,ARG,2006,0.0278
Argentina,ARG,2007,0.0278
Argentina,ARG,2008,0.0278
Argentina,ARG,2009,0.0278
Argentina,ARG,2010,0.0278
Argentina,ARG,2011,0.0596
Argentina,ARG,2012,0.137
Argentina,ARG,2013,0.19
Argentina,ARG,2014,0.2152
Argentina,ARG,2015,0.187
Argentina,ARG,2016,0.187
Argentina,ARG,2017,0.257202
Argentina,ARG,2018,0.750092
Argentina,ARG,2019,1.609409
Argentina,ARG,2020,2.624
Asia Pacific,,1997,1.117075
Asia Pacific,,1998,1.242075
Asia Pacific,,1999,1.422755
Asia Pacific,,2000,1.7776
Asia Pacific,,2001,2.1496
Asia Pacific,,2002,2.6193
Asia Pacific,,2003,3.4839
Asia Pacific,,2004,5.1403
Asia Pacific,,2005,7.8106
Asia Pacific,,2006,11.5235
Asia Pacific,,2007,15.6037
Asia Pacific,,2008,22.797854
Asia Pacific,,2009,33.557454
Asia Pacific,,2010,48.519154
Asia Pacific,,2011,68.725641
Asia Pacific,,2012,86.039702
Asia Pacific,,2013,103.430299
Asia Pacific,,2014,128.811589
Asia Pacific,,2015,166.703591
Asia Pacific,,2016,189.152216
Asia Pacific,,2017,210.459
Asia Pacific,,2018,235.561
Asia Pacific,,2019,265.111
Asia Pacific,,2020,341.896
Australia,AUS,1997,0.004
Australia,AUS,1998,0.01
Australia,AUS,1999,0.01
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.819
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.127
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.234
Australia,AUS,2016,4.327
Australia,AUS,2017,4.816
Australia,AUS,2018,5.679
Australia,AUS,2019,7.133
Australia,AUS,2020,9.457
Austria,AUT,1997,0.02
Austria,AUT,1998,0.03
Austria,AUT,1999,0.042
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825219
Austria,AUT,2006,0.968269
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.991974
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.33715
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.110275
Austria,AUT,2015,2.488726
Austria,AUT,2016,2.729996
Austria,AUT,2017,2.886698
Austria,AUT,2018,3.132713
Austria,AUT,2019,3.224
Austria,AUT,2020,3.224
Belgium,BEL,1997,0.009
Belgium,BEL,1998,0.01
Belgium,BEL,1999,0.011
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.37
Belgium,BEL,2013,1.78
Belgium,BEL,2014,1.944
Belgium,BEL,2015,2.176
Belgium,BEL,2016,2.37
Belgium,BEL,2017,2.788
Belgium,BEL,2018,3.268
Belgium,BEL,2019,3.863
Belgium,BEL,2020,4.692
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.894
Brazil,BRA,2013,2.202
Brazil,BRA,2014,4.888
Brazil,BRA,2015,7.633
Brazil,BRA,2016,10.129
Brazil,BRA,2017,12.304
Brazil,BRA,2018,14.843
Brazil,BRA,2019,15.438
Brazil,BRA,2020,17.198
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.699
Bulgaria,BGR,2015,0.699
Bulgaria,BGR,2016,0.699
Bulgaria,BGR,2017,0.69839
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.703
Bulgaria,BGR,2020,0.703
CIS,,2000,0.003
CIS,,2001,0.003
CIS,,2002,0.007
CIS,,2003,0.009
CIS,,2004,0.009
CIS,,2005,0.0126
CIS,,2006,0.0126
CIS,,2007,0.0126
CIS,,2008,0.0126
CIS,,2009,0.0146
CIS,,2010,0.01464
CIS,,2011,0.01264
CIS,,2012,0.01414
CIS,,2013,0.01934
CIS,,2014,0.06815
CIS,,2015,0.0939
CIS,,2016,0.1489
CIS,,2017,0.1639
CIS,,2018,0.2639
CIS,,2019,0.4769
CIS,,2020,1.522
Canada,CAN,1997,0.026
Canada,CAN,1998,0.083
Canada,CAN,1999,0.126
Canada,CAN,2000,0.139
Canada,CAN,2001,0.214
Canada,CAN,2002,0.27
Canada,CAN,2003,0.351
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
Canada,CAN,2008,2.336
Canada,CAN,2009,3.282
Canada,CAN,2010,3.967
Canada,CAN,2011,5.265
Canada,CAN,2012,6.201
Canada,CAN,2013,7.801
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214
Canada,CAN,2016,11.973
Canada,CAN,2017,12.403
Canada,CAN,2018,12.816
Canada,CAN,2019,13.413
Canada,CAN,2020,13.577
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.301
Chile,CHL,2014,0.736
Chile,CHL,2015,0.91
Chile,CHL,2016,1.039
Chile,CHL,2017,1.305
Chile,CHL,2018,1.524
Chile,CHL,2019,1.620074
Chile,CHL,2020,2.149
China,CHN,1997,0.146
China,CHN,1998,0.2
China,CHN,1999,0.262
China,CHN,2000,0.341
China,CHN,2001,0.383
China,CHN,2002,0.449
China,CHN,2003,0.547
China,CHN,2004,0.763
China,CHN,2005,1.06
China,CHN,2006,2.07
China,CHN,2007,4.2
China,CHN,2008,8.387728
China,CHN,2009,17.599408
China,CHN,2010,29.633478
China,CHN,2011,46.3546
China,CHN,2012,61.596873
China,CHN,2013,76.73053
China,CHN,2014,96.81913
China,CHN,2015,131.04773
China,CHN,2016,148.51689
China,CHN,2017,164.374477
China,CHN,2018,184.664877
China,CHN,2019,209.528
China,CHN,2020,281.993
Costa Rica,CRI,1997,0.023
Costa Rica,CRI,1998,0.027
Costa Rica,CRI,1999,0.035
Costa Rica,CRI,2000,0.0425
Costa Rica,CRI,2001,0.0623
Costa Rica,CRI,2002,0.0623
Costa Rica,CRI,2003,0.0686
Costa Rica,CRI,2004,0.0686
Costa Rica,CRI,2005,0.0686
Costa Rica,CRI,2006,0.0686
Costa Rica,CRI,2007,0.0699
Costa Rica,CRI,2008,0.0699
Costa Rica,CRI,2009,0.1196
Costa Rica,CRI,2010,0.1196
Costa Rica,CRI,2011,0.1328
Costa Rica,CRI,2012,0.1481
Costa Rica,CRI,2013,0.1481
Costa Rica,CRI,2014,0.1965
Costa Rica,CRI,2015,0.27814
Costa Rica,CRI,2016,0.31914
Costa Rica,CRI,2017,0.378
Costa Rica,CRI,2018,0.40777
Costa Rica,CRI,2019,0.41092
Costa Rica,CRI,2020,0.394
Denmark,DNK,1997,1.116
Denmark,DNK,1998,1.42
Denmark,DNK,1999,1.738
Denmark,DNK,2000,2.39
Denmark,DNK,2001,2.4972
Denmark,DNK,2002,2.8945
Denmark,DNK,2003,3.1199
Denmark,DNK,2004,3.1237
Denmark,DNK,2005,3.1278
Denmark,DNK,2006,3.1357
Denmark,DNK,2007,3.1242
Denmark,DNK,2008,3.1629
Denmark,DNK,2009,3.4821
Denmark,DNK,2010,3.8018
Denmark,DNK,2011,3.952
Denmark,DNK,2012,4.1619
Denmark,DNK,2013,4.8191
Denmark,DNK,2014,4.8866
Denmark,DNK,2015,5.076976
Denmark,DNK,2016,5.245
Denmark,DNK,2017,5.489
Denmark,DNK,2018,6.115
Denmark,DNK,2019,6.103
Denmark,DNK,2020,6.235
Egypt,EGY,1997,0.006
Egypt,EGY,1998,0.006
Egypt,EGY,1999,0.036
Egypt,EGY,2000,0.069
Egypt,EGY,2001,0.069
Egypt,EGY,2002,0.069
Egypt,EGY,2003,0.069
Egypt,EGY,2004,0.145
Egypt,EGY,2005,0.145
Egypt,EGY,2006,0.23
Egypt,EGY,2007,0.31
Egypt,EGY,2008,0.39
Egypt,EGY,2009,0.435
Egypt,EGY,2010,0.55
Egypt,EGY,2011,0.55
Egypt,EGY,2012,0.55
Egypt,EGY,2013,0.55
Egypt,EGY,2014,0.55
Egypt,EGY,2015,0.75
Egypt,EGY,2016,0.75
Egypt,EGY,2017,0.75
Egypt,EGY,2018,1.125
Egypt,EGY,2019,1.375
Egypt,EGY,2020,1.375
Europe,,1997,4.81
Europe,,1998,6.3831
Europe,,1999,9.2798
Europe,,2000,12.749885
Europe,,2001,17.411903
Europe,,2002,23.307081
Europe,,2003,28.169936
Europe,,2004,34.337372
Europe,,2005,40.701315
Europe,,2006,47.973925
Europe,,2007,56.482856
Europe,,2008,64.415552
Europe,,2009,76.595795
Europe,,2010,86.236389
Europe,,2011,96.439363
Europe,,2012,109.44361
Europe,,2013,121.014386
Europe,,2014,133.814392
Europe,,2015,147.536
Europe,,2016,161.507
Europe,,2017,177.14015
Europe,,2018,188.96835
Europe,,2019,203.90215
Europe,,2020,216.579
Finland,FIN,1997,0.012
Finland,FIN,1998,0.018
Finland,FIN,1999,0.039
Finland,FIN,2000,0.038
Finland,FIN,2001,0.039
Finland,FIN,2002,0.043
Finland,FIN,2003,0.052
Finland,FIN,2004,0.082
Finland,FIN,2005,0.082
Finland,FIN,2006,0.086
Finland,FIN,2007,0.11
Finland,FIN,2008,0.143
Finland,FIN,2009,0.147
Finland,FIN,2010,0.197
Finland,FIN,2011,0.199
Finland,FIN,2012,0.257
Finland,FIN,2013,0.447
Finland,FIN,2014,0.627
Finland,FIN,2015,1.005
Finland,FIN,2016,1.565
Finland,FIN,2017,2.044
Finland,FIN,2018,2.041
Finland,FIN,2019,2.28155
Finland,FIN,2020,2.474
France,FRA,1997,0.013
France,FRA,1998,0.021
France,FRA,1999,0.025
France,FRA,2000,0.038
France,FRA,2001,0.066
France,FRA,2002,0.138
France,FRA,2003,0.218
France,FRA,2004,0.358
France,FRA,2005,0.69
France,FRA,2006,1.412
France,FRA,2007,2.223
France,FRA,2008,3.403
France,FRA,2009,4.582
France,FRA,2010,5.912
France,FRA,2011,6.758016
France,FRA,2012,7.607496
France,FRA,2013,8.155961
France,FRA,2014,9.201425
France,FRA,2015,10.29818
France,FRA,2016,11.566564
France,FRA,2017,13.499357
France,FRA,2018,14.900146
France,FRA,2019,16.427
France,FRA,2020,17.382
Germany,DEU,1997,2.089
Germany,DEU,1998,2.877
Germany,DEU,1999,4.435
Germany,DEU,2000,6.095
Germany,DEU,2001,8.754
Germany,DEU,2002,12.001
Germany,DEU,2003,14.381
Germany,DEU,2004,16.419
Germany,DEU,2005,18.248
Germany,DEU,2006,20.474
Germany,DEU,2007,22.116
Germany,DEU,2008,22.794
Germany,DEU,2009,25.732
Germany,DEU,2010,26.903
Germany,DEU,2011,28.712
Germany,DEU,2012,30.979
Germany,DEU,2013,33.477
Germany,DEU,2014,38.614
Germany,DEU,2015,44.58
Germany,DEU,2016,49.435
Germany,DEU,2017,55.58
Germany,DEU,2018,58.721
Germany,DEU,2019,60.721
Germany,DEU,2020,62.184
Greece,GRC,1997,0.029
Greece,GRC,1998,0.0381
Greece,GRC,1999,0.1058
Greece,GRC,2000,0.226
Greece,GRC,2001,0.27
Greece,GRC,2002,0.287
Greece,GRC,2003,0.371
Greece,GRC,2004,0.47
Greece,GRC,2005,0.491
Greece,GRC,2006,0.749
Greece,GRC,2007,0.846
Greece,GRC,2008,1.022
Greece,GRC,2009,1.171
Greece,GRC,2010,1.298
Greece,GRC,2011,1.64
Greece,GRC,2012,1.753
Greece,GRC,2013,1.809
Greece,GRC,2014,1.978
Greece,GRC,2015,2.091
Greece,GRC,2016,2.37
Greece,GRC,2017,2.624
Greece,GRC,2018,2.877495
Greece,GRC,2019,3.589
Greece,GRC,2020,4.113
India,IND,1997,0.94
India,IND,1998,0.992
India,IND,1999,1.035
India,IND,2000,1.267
India,IND,2001,1.456
India,IND,2002,1.702
India,IND,2003,2.125
India,IND,2004,3
India,IND,2005,4.4339
India,IND,2006,6.315
India,IND,2007,7.8445
India,IND,2008,10.2425
India,IND,2009,10.925
India,IND,2010,13.184
India,IND,2011,16.179
India,IND,2012,17.2997
India,IND,2013,18.4204
India,IND,2014,22.4653
India,IND,2015,25.08819
India,IND,2016,28.70044
India,IND,2017,32.84846
India,IND,2018,35.2881
India,IND,2019,37.50518
India,IND,2020,38.559
Iran,IRN,1997,0.009
Iran,IRN,1998,0.009
Iran,IRN,1999,0.009
Iran,IRN,2000,0.011
Iran,IRN,2001,0.011
Iran,IRN,2002,0.012
Iran,IRN,2003,0.016
Iran,IRN,2004,0.0249
Iran,IRN,2005,0.037
Iran,IRN,2006,0.047
Iran,IRN,2007,0.063
Iran,IRN,2008,0.063
Iran,IRN,2009,0.092
Iran,IRN,2010,0.095
Iran,IRN,2011,0.0982
Iran,IRN,2012,0.1061
Iran,IRN,2013,0.1076
Iran,IRN,2014,0.1488
Iran,IRN,2015,0.15344
Iran,IRN,2016,0.19094
Iran,IRN,2017,0.259
Iran,IRN,2018,0.282
Iran,IRN,2019,0.3022
Iran,IRN,2020,0.303
Ireland,IRL,1997,0.053
Ireland,IRL,1998,0.064
Ireland,IRL,1999,0.074
Ireland,IRL,2000,0.1165
Ireland,IRL,2001,0.1229
Ireland,IRL,2002,0.1348
Ireland,IRL,2003,0.2103
Ireland,IRL,2004,0.3364
Ireland,IRL,2005,0.4933
Ireland,IRL,2006,0.6765
Ireland,IRL,2007,0.7405
Ireland,IRL,2008,0.9423
Ireland,IRL,2009,1.2513
Ireland,IRL,2010,1.3904
Ireland,IRL,2011,1.5846
Ireland,IRL,2012,1.7044
Ireland,IRL,2013,2.0082
Ireland,IRL,2014,2.2833
Ireland,IRL,2015,2.451151
Ireland,IRL,2016,2.785951
Ireland,IRL,2017,3.317951
Ireland,IRL,2018,3.676134
Ireland,IRL,2019,4.16
Ireland,IRL,2020,4.3
Italy,ITA,1997,0.103
Italy,ITA,1998,0.197
Italy,ITA,1999,0.277
Italy,ITA,2000,0.363
Italy,ITA,2001,0.664
Italy,ITA,2002,0.78
Italy,ITA,2003,0.874
Italy,ITA,2004,1.127
Italy,ITA,2005,1.635
Italy,ITA,2006,1.902
Italy,ITA,2007,2.702
Italy,ITA,2008,3.525
Italy,ITA,2009,4.879
Italy,ITA,2010,5.794
Italy,ITA,2011,6.918
Italy,ITA,2012,8.102
Italy,ITA,2013,8.542
Italy,ITA,2014,8.683
Italy,ITA,2015,9.137
Italy,ITA,2016,9.384
Italy,ITA,2017,9.736578
Italy,ITA,2018,10.230246
Italy,ITA,2019,10.679
Italy,ITA,2020,10.839
Japan,JPN,1997,0.017
Japan,JPN,1998,0.03
Japan,JPN,1999,0.068
Japan,JPN,2000,0.084
Japan,JPN,2001,0.175
Japan,JPN,2002,0.277
Japan,JPN,2003,0.508
Japan,JPN,2004,0.769
Japan,JPN,2005,1.227
Japan,JPN,2006,1.805
Japan,JPN,2007,1.527
Japan,JPN,2008,1.756
Japan,JPN,2009,1.997
Japan,JPN,2010,2.294
Japan,JPN,2011,2.419
Japan,JPN,2012,2.562
Japan,JPN,2013,2.646
Japan,JPN,2014,2.753
Japan,JPN,2015,2.808
Japan,JPN,2016,3.247
Japan,JPN,2017,3.483
Japan,JPN,2018,3.667
Japan,JPN,2019,3.786
Japan,JPN,2020,4.206
Jordan,JOR,2000,0.0014
Jordan,JOR,2001,0.0014
Jordan,JOR,2002,0.0014
Jordan,JOR,2003,0.0014
Jordan,JOR,2004,0.0014
Jordan,JOR,2005,0.0014
Jordan,JOR,2006,0.0014
Jordan,JOR,2007,0.0014
Jordan,JOR,2008,0.0014
Jordan,JOR,2009,0.0014
Jordan,JOR,2010,0.0014
Jordan,JOR,2011,0.0014
Jordan,JOR,2012,0.0014
Jordan,JOR,2013,0.0014
Jordan,JOR,2014,0.0014
Jordan,JOR,2015,0.1184
Jordan,JOR,2016,0.198
Jordan,JOR,2017,0.1984
Jordan,JOR,2018,0.28
Jordan,JOR,2019,0.37
Jordan,JOR,2020,0.515
Mexico,MEX,1997,0.002
Mexico,MEX,1998,0.002
Mexico,MEX,1999,0.002
Mexico,MEX,2000,0.017
Mexico,MEX,2001,0.017
Mexico,MEX,2002,0.018
Mexico,MEX,2003,0.018
Mexico,MEX,2004,0.018
Mexico,MEX,2005,0.018
Mexico,MEX,2006,0.101
Mexico,MEX,2007,0.101
Mexico,MEX,2008,0.101
Mexico,MEX,2009,0.425
Mexico,MEX,2010,0.519
Mexico,MEX,2011,0.601
Mexico,MEX,2012,1.815
Mexico,MEX,2013,2.122
Mexico,MEX,2014,2.569
Mexico,MEX,2015,3.271
Mexico,MEX,2016,4.051
Mexico,MEX,2017,4.19898
Mexico,MEX,2018,4.875375
Mexico,MEX,2019,6.590875
Mexico,MEX,2020,8.128
Middle East,,1997,0.009
Middle East,,1998,0.009
Middle East,,1999,0.009
Middle East,,2000,0.0124
Middle East,,2001,0.0124
Middle East,,2002,0.0194
Middle East,,2003,0.0234
Middle East,,2004,0.0329
Middle East,,2005,0.045
Middle East,,2006,0.055
Middle East,,2007,0.071
Middle East,,2008,0.0717
Middle East,,2009,0.1007
Middle East,,2010,0.1037
Middle East,,2011,0.1069
Middle East,,2012,0.1153
Middle East,,2013,0.1192
Middle East,,2014,0.1622
Middle East,,2015,0.28622
Middle East,,2016,0.423
Middle East,,2017,0.504
Middle East,,2018,0.609
Middle East,,2019,0.769
Middle East,,2020,0.915
Morocco,MAR,1997,0
Morocco,MAR,1998,0.002
Morocco,MAR,1999,0.02
Morocco,MAR,2000,0.054
Morocco,MAR,2001,0.054
Morocco,MAR,2002,0.054
Morocco,MAR,2003,0.054
Morocco,MAR,2004,0.054
Morocco,MAR,2005,0.054
Morocco,MAR,2006,0.054
Morocco,MAR,2007,0.114
Morocco,MAR,2008,0.114
Morocco,MAR,2009,0.221
Morocco,MAR,2010,0.221
Morocco,MAR,2011,0.255
Morocco,MAR,2012,0.255
Morocco,MAR,2013,0.495
Morocco,MAR,2014,0.797
Morocco,MAR,2015,0.797
Morocco,MAR,2016,0.897
Morocco,MAR,2017,1.023
Morocco,MAR,2018,1.225
Morocco,MAR,2019,1.225
Morocco,MAR,2020,1.405
Netherlands,NLD,1997,0.329
Netherlands,NLD,1998,0.379
Netherlands,NLD,1999,0.433
Netherlands,NLD,2000,0.447
Netherlands,NLD,2001,0.486
Netherlands,NLD,2002,0.672
Netherlands,NLD,2003,0.905
Netherlands,NLD,2004,1.075
Netherlands,NLD,2005,1.224
Netherlands,NLD,2006,1.561
Netherlands,NLD,2007,1.749
Netherlands,NLD,2008,2.149
Netherlands,NLD,2009,2.222
Netherlands,NLD,2010,2.237
Netherlands,NLD,2011,2.316
Netherlands,NLD,2012,2.433
Netherlands,NLD,2013,2.713
Netherlands,NLD,2014,2.865
Netherlands,NLD,2015,3.391
Netherlands,NLD,2016,4.257
Netherlands,NLD,2017,4.202
Netherlands,NLD,2018,4.393
Netherlands,NLD,2019,4.484
Netherlands,NLD,2020,6.6
New Zealand,NZL,1997,0.004075
New Zealand,NZL,1998,0.004075
New Zealand,NZL,1999,0.035755
New Zealand,NZL,2000,0.036
New Zealand,NZL,2001,0.036
New Zealand,NZL,2002,0.054
New Zealand,NZL,2003,0.072
New Zealand,NZL,2004,0.166
New Zealand,NZL,2005,0.168
New Zealand,NZL,2006,0.169
New Zealand,NZL,2007,0.32
New Zealand,NZL,2008,0.322
New Zealand,NZL,2009,0.497
New Zealand,NZL,2010,0.524
New Zealand,NZL,2011,0.524
New Zealand,NZL,2012,0.623
New Zealand,NZL,2013,0.623
New Zealand,NZL,2014,0.682
New Zealand,NZL,2015,0.689
New Zealand,NZL,2016,0.689
New Zealand,NZL,2017,0.689
New Zealand,NZL,2018,0.689
New Zealand,NZL,2019,0.689
New Zealand,NZL,2020,0.784
North America,,1997,1.639
North America,,1998,2.226
North America,,1999,2.573
North America,,2000,2.533
North America,,2001,4.095
